seq	time	fx	fy	fz	tx	ty	tz	
235	1580406962.694747682	-31.7505	49.1054	-17.284	-1.17802	-2.56847	0.15586	
236	1580406962.702722356	-31.7514	49.1099	-17.2868	-1.17802	-2.5687	0.155671	
237	1580406962.710724485	18.5711	35.6543	-31.7221	-1.17842	1.15713	-1.48806	
238	1580406962.718728469	18.5719	35.6533	-31.7218	-1.17826	1.1575	-1.48773	
239	1580406962.726739626	18.571	35.6538	-31.7212	-1.17855	1.15759	-1.48785	
240	1580406962.734732535	18.5698	35.6542	-31.721	-1.17854	1.1574	-1.48817	
241	1580406962.742745160	18.5698	35.6535	-31.7221	-1.17882	1.15698	-1.48801	
242	1580406962.750676023	18.6214	-3.63558	-9.31257	-1.17964	3.22253	2.13461	
243	1580406962.758786842	-31.7001	9.81825	5.11984	-1.17966	-0.503558	3.7784	
244	1580406962.766746253	-31.7008	9.81622	5.11977	-1.1794	-0.503852	3.77886	
245	1580406962.774756588	-31.7004	9.81576	5.11942	-1.17986	-0.503541	3.77869	
246	1580406962.782681681	-31.7024	9.81799	5.11895	-1.18122	-0.503801	3.7785	
247	1580406962.790796976	18.6175	-3.63657	-9.31244	-1.18092	3.22208	2.13471	
248	1580406962.798720581	18.6193	-3.63556	-9.31323	-1.18119	3.22233	2.13422	
249	1580406962.806731403	18.6188	-3.6358	-9.31298	-1.18127	3.22219	2.13403	
250	1580406962.814682661	18.6218	-3.63853	-9.31049	-1.18049	0.660685	-2.35852	
251	1580406962.822684573	18.6251	-3.64057	-9.31021	-1.18031	0.661065	-2.35853	
252	1580406962.830698094	18.6239	-3.63994	-9.3112	-1.18058	0.660512	-2.35831	
253	1580406962.838742508	18.6237	-3.63811	-9.31186	-1.18022	0.660468	-2.35846	
254	1580406962.838742508	18.6236	-3.6363	-9.31254	-1.17987	0.660422	-2.3586	
255	1580406962.854735290	18.6246	-3.63605	-9.31331	-1.18031	0.660181	-2.35869	
256	1580406962.862687909	18.6255	-3.63287	-9.31305	-1.18054	0.660163	-2.35931	
257	1580406962.870751092	18.6259	-3.63262	-9.31518	-1.18063	0.659834	-2.35934	
258	1580406962.878741197	18.6272	-3.63362	-9.31767	-1.18072	0.659471	-2.35937	
259	1580406962.886781797	18.6237	-3.63396	-9.31743	-1.18114	0.658875	-2.35916	
260	1580406962.894738787	18.6267	-3.63737	-9.31593	-1.18087	0.65941	-2.35954	
261	1580406962.902688717	18.6285	-3.63685	-9.31631	-1.18087	0.659491	-2.36004	
262	1580406962.910706398	18.6263	-3.63557	-9.31592	-1.18076	0.658826	-2.36058	
263	1580406962.918732982	18.6261	-3.63439	-9.31722	-1.18095	0.658548	-2.36096	
264	1580406962.926686428	18.6259	-3.63147	-9.31561	-1.18094	0.658494	-2.36189	
265	1580406962.934721747	18.623	-3.63023	-9.3146	-1.18087	0.657941	-2.36186	
266	1580406962.942698947	18.6234	-3.62971	-9.31485	-1.18061	0.657989	-2.36163	
267	1580406962.950683479	18.6271	-3.6304	-9.31617	-1.18051	1.53109	-0.832344	
268	1580406962.958723154	18.6278	-3.63078	-9.3165	-1.18043	3.22116	2.13026	
269	1580406962.966704689	18.6297	-3.62895	-9.31609	-1.18091	2.16085	0.269147	
270	1580406962.974719463	27.0944	-4.31254	-1.64613	2.87292	9.22044	-0.825222	
271	1580406962.982690390	27.0884	0.819058	-4.57463	-1.18096	8.94609	-1.29583	
272	1580406962.990768391	27.0905	0.816826	-4.57358	-1.18095	8.94644	-1.296	
273	1580406962.998732371	27.1	-4.90811	-1.31028	3.34109	9.25252	-0.771132	
274	1580406963.006702939	27.1015	-4.90727	-1.31212	3.34092	9.25236	-0.771097	
275	1580406963.014763365	27.1002	-4.90688	-1.31112	3.34011	9.2525	-0.771229	
276	1580406963.022748880	22.6532	-7.24503	-3.80381	3.34052	6.24364	1.02967	
277	1580406963.030753791	27.1002	-4.9085	-1.31181	3.34053	8.60019	-1.91457	
278	1580406963.038735495	27.1025	-4.90933	-1.3131	3.34037	7.13075	-4.49094	
279	1580406963.046711937	26.2257	-5.37094	-1.8062	3.34037	6.09576	-4.90799	
280	1580406963.054764360	23.5659	-6.77118	-3.29852	3.34061	4.29495	-3.83051	
281	1580406963.062694954	18.6511	-9.35634	-6.05712	3.34036	0.967518	-1.83936	
282	1580406963.070722078	18.6491	-9.35208	-6.05763	3.33997	3.17948	2.03863	
283	1580406963.078785544	-31.6732	4.09921	8.37727	3.33997	-2.00375	1.12748	
284	1580406963.086752831	18.6482	-9.35425	-6.05626	3.34008	0.967695	-1.83935	
285	1580406963.094725428	18.6481	-9.35198	-6.05874	3.34001	0.967553	-1.83941	
286	1580406963.102689651	18.6479	-9.35245	-6.05914	3.34044	1.14143	-1.53396	
287	1580406963.110835103	18.625	9.85308	-17.0165	3.34084	2.5202	0.882435	
288	1580406963.118724738	18.6519	-9.34816	-6.06146	3.3406	3.53048	2.6533	
289	1580406963.126775637	27.053	34.3883	-23.7307	3.34036	6.78605	-5.09619	
290	1580406963.134744028	27.0912	6.81177	-8.00034	3.34007	8.63702	-1.85136	
291	1580406963.142705308	-23.2696	47.8409	-9.29538	3.34004	0.898155	-7.2421	
292	1580406963.150788916	-21.4833	30.5859	-0.226674	3.33968	3.1247	-3.6248	
293	1580406963.158756924	27.0512	34.3898	-23.728	3.33953	7.18696	-4.39355	
294	1580406963.166697293	27.05	34.3887	-23.7262	3.33967	6.28835	-5.96843	
295	1580406963.174780186	27.0503	34.3868	-23.7263	3.33914	4.62423	-8.88548	
296	1580406963.182737308	27.0492	34.3882	-23.7277	3.33854	4.6241	-8.88553	
297	1580406963.190708057	27.0501	34.3871	-23.7268	3.3388	4.62426	-8.88555	
298	1580406963.198709702	27.0502	34.3855	-23.7276	3.33844	4.62387	-8.88559	
299	1580406963.206699625	27.0516	34.3846	-23.7283	3.33836	4.62392	-8.88552	
300	1580406963.214729351	27.0503	34.3846	-23.7285	3.33828	4.62368	-8.88552	
