seq	time	fx	fy	fz	tx	ty	tz	
301	1580406962.894738787	-1.44608	21.018	-8.88869	1.15789	2.21499	-2.65619	
302	1580406962.902688717	-1.77011	22.0129	-9.68051	1.0807	2.05971	-2.6725	
303	1580406962.910706398	-2.9974	22.3991	-9.35472	1.10642	1.84299	-2.70981	
304	1580406962.918732982	-2.39403	22.7628	-9.40753	1.02926	2.00151	-2.69398	
305	1580406962.926686428	-2.38774	22.4168	-9.53237	1.08069	1.97057	-2.79346	
306	1580406962.934721747	-3.17772	22.1797	-9.30668	1.10642	1.86141	-2.52649	
307	1580406962.942698947	-2.23303	22.1626	-9.50154	1.15788	2.05341	-2.47392	
308	1580406962.950683479	-1.18417	21.786	-9.44596	1.10643	2.24739	-2.68928	
309	1580406962.958723154	-2.10663	21.7042	-9.25001	1.10643	2.09001	-2.58163	
310	1580406962.966704689	-1.7508	22.6359	-9.4771	0.926329	2.32772	-2.72981	
311	1580406962.974719463	-2.33533	23.6232	-9.10738	1.00353	2.48108	-2.86034	
312	1580406962.982690390	-1.93825	21.7918	-9.52688	1.13216	2.02321	-2.50916	
313	1580406962.990768391	-1.67042	21.6662	-8.77981	1.0807	2.18553	-2.63643	
314	1580406962.998732371	-1.88707	22.5771	-9.64109	1.08071	2.16274	-2.66734	
315	1580406963.006702939	-1.84218	22.4251	-9.76994	1.02925	2.02271	-2.55162	
316	1580406963.014763365	-2.72155	22.4106	-8.79904	0.823426	2.1232	-2.61355	
317	1580406963.022748880	-2.37227	21.5933	-9.01409	1.20933	2.10113	-2.47996	
318	1580406963.030753791	-2.26403	22.4673	-9.61664	1.08071	2.03214	-2.60986	
319	1580406963.038735495	-1.58629	22.0487	-9.89007	1.02925	2.16069	-2.45956	
320	1580406963.046711937	-1.85289	22.0048	-9.68901	1.08069	1.98464	-2.68632	
321	1580406963.054764360	-1.85687	21.5094	-9.35164	1.15788	2.03992	-2.59748	
322	1580406963.062694954	-1.30011	21.737	-9.57082	1.0035	2.16203	-2.6426	
323	1580406963.070722078	-2.91861	22.8395	-9.48714	0.95206	1.94126	-2.67092	
324	1580406963.078785544	-2.65642	21.7286	-8.71178	1.08071	2.21999	-2.45896	
325	1580406963.086752831	-2.26235	22.2642	-9.4991	1.10643	2.0798	-2.52675	
326	1580406963.094725428	-2.34423	22.7237	-10.1032	1.05498	2.01594	-2.56442	
327	1580406963.102689651	-2.39774	22.0655	-9.21544	1.20934	2.03034	-2.46536	
328	1580406963.110835103	-1.00246	21.9887	-10.0052	1.20933	2.15593	-2.62824	
329	1580406963.118724738	-2.31837	22.8042	-9.56045	1.0035	2.10903	-2.45385	
330	1580406963.126775637	-2.73122	23.1389	-9.62467	1.00353	1.91009	-2.63097	
331	1580406963.134744028	-2.44217	22.3649	-9.37599	0.977796	2.10592	-2.51595	
332	1580406963.142705308	-2.56216	21.5195	-8.93624	1.0807	2.04782	-2.43861	
333	1580406963.150788916	-2.17681	21.9906	-9.26543	0.952052	2.02309	-2.51383	
334	1580406963.158756924	-2.65504	22.4533	-9.17406	1.02924	2.17748	-2.52566	
335	1580406963.166697293	-2.7246	21.8227	-8.92832	1.13216	1.99936	-2.4669	
336	1580406963.174780186	-2.20253	21.6138	-9.63256	0.900608	2.01964	-2.46793	
337	1580406963.182737308	-2.67828	22.915	-9.42411	0.874883	2.05323	-2.5961	
338	1580406963.190708057	-2.05994	21.7067	-9.00036	1.15788	2.10929	-2.55141	
